auxk,dead,fixed_validation_nmse,l0,learning_rate,loss,mse,mse_per_dimension,reconstruction_mse,reconstruction_mse_per_dimension,step,threshold
0.0,0.0,0.9616243243217468,20.0,3e-07,4881.08447265625,4881.08447265625,0.9533368110656738,4881.08447265625,0.9533368110656738,1.0,-1.0
0.0,0.0,0.9493554830551147,20.0,1.53e-05,4809.373046875,4809.373046875,0.9393306732177734,4809.373046875,0.9393306732177734,51.0,-1.0
0.0,0.0,0.8778342008590698,20.0,3.0299999999999998e-05,4462.28662109375,4462.28662109375,0.8715403556823731,4462.28662109375,0.8715403556823731,101.0,-1.0
0.0,0.0,0.7071884274482727,20.0,4.5299999999999997e-05,3507.94677734375,3507.94677734375,0.6851458549499512,3507.94677734375,0.6851458549499512,151.0,-1.0
0.0,0.0,0.5615952014923096,20.0,6.0299999999999995e-05,2807.423828125,2807.423828125,0.5483249664306641,2807.423828125,0.5483249664306641,201.0,-1.0
0.0,0.0,0.4801017642021179,20.0,7.529999999999999e-05,2333.3408203125,2333.3408203125,0.45573062896728517,2333.3408203125,0.45573062896728517,251.0,-1.0
0.0,0.0,0.43168413639068604,20.0,9.029999999999999e-05,1940.4833984375,1940.4833984375,0.3790006637573242,1940.4833984375,0.3790006637573242,301.0,-1.0
0.0,0.0,0.39711907505989075,20.0,0.00010529999999999998,1702.414306640625,1702.414306640625,0.3325027942657471,1702.414306640625,0.3325027942657471,351.0,-1.0
0.0,0.0,0.37039828300476074,20.0,0.0001203,1495.22998046875,1495.22998046875,0.2920371055603027,1495.22998046875,0.2920371055603027,401.0,-1.0
0.0,0.0,0.3506055176258087,20.0,0.00013529999999999998,1307.18359375,1307.18359375,0.2553092956542969,1307.18359375,0.2553092956542969,451.0,-1.0
0.0,0.0,0.3343650996685028,20.0,0.0001503,1148.20654296875,1148.20654296875,0.224259090423584,1148.20654296875,0.224259090423584,501.0,-1.0
0.0,0.0,0.3231426477432251,20.0,0.0001653,1081.028564453125,1081.028564453125,0.21113839149475097,1081.028564453125,0.21113839149475097,551.0,-1.0
0.0,0.0,0.31422480940818787,20.0,0.00018029999999999996,974.25,974.25,0.190283203125,974.25,0.190283203125,601.0,-1.0
0.0,0.0,0.3061386048793793,20.0,0.00019529999999999998,874.5533447265625,874.5533447265625,0.17081120014190673,874.5533447265625,0.17081120014190673,651.0,-1.0
0.0,0.0,0.30075088143348694,20.0,0.00021029999999999996,876.2817993164062,876.2817993164062,0.1711487889289856,876.2817993164062,0.1711487889289856,701.0,-1.0
0.0,0.0,0.296433687210083,20.0,0.00022529999999999997,812.021484375,812.021484375,0.1585979461669922,812.021484375,0.1585979461669922,751.0,-1.0
0.0,0.0,0.29322293400764465,20.0,0.00024029999999999999,724.6533203125,724.6533203125,0.14153385162353516,724.6533203125,0.14153385162353516,801.0,-1.0
