architecture,final_fixed_validation_nmse,tail_relative_improvement,plateaued_by_one_percent_rule,heldout_test_nmse,realized_l0,realized_l0_unit,dead_all,dead_train,dead_validation,dead_test,d_sae
txc_w8,0.5329335331916809,-0.024018163177163106,True,0.572456425531932,29.308125,shared_window_code,765,6468,2059,1814,8192
sae,0.26556384563446045,-0.020070966512437366,True,0.2731762432084323,27.042666666666666,token,5324,5765,5644,5643,8192
tsae,0.26568400859832764,-0.009919354136018558,True,0.27537768385685696,42.825833333333335,token,1072,1498,3721,3610,8192
txc_w4,0.43003109097480774,-0.029938791754399025,True,0.4747831941310783,29.820833333333333,shared_window_code,828,5078,2689,1441,8192
