layer,direction,signed_positive_fraction,signed_aicc_winner,signed_power_alpha,direct_psd_beta,direct_psd_beta_q025,direct_psd_beta_q975,tauberian_beta_if_valid,beta_minus_tauberian
8,pca_0,1.0,power_cutoff_floor,0.21860819734014267,0.47865165526108644,0.46564980867527433,0.4893692237159731,0.7813918026598573,-0.30274014739877086
8,pca_1,1.0,stretched_floor,0.15263864872042357,0.9157822337406699,0.9071156768843648,0.9225294212595567,0.8473613512795765,0.06842088246109346
8,pca_2,1.0,stretched_floor,0.19820891764678855,0.06466207743697458,0.055269757664372206,0.07583189564843981,0.8017910823532115,-0.7371290049162369
8,pca_3,1.0,power,0.4562946334292777,0.1166489265171596,0.10617493217375343,0.1295150087486541,0.5437053665707223,-0.4270564400535627
8,random_0,1.0,power_floor,0.242813324864222,0.211052373046682,0.200359555078855,0.22185272313220292,0.757186675135778,-0.546134302089096
8,random_1,1.0,stretched_floor,0.40003216592458835,0.38127385647147854,0.3700713772159557,0.39321657571962965,0.5999678340754117,-0.2186939776039331
8,random_2,1.0,power_floor,0.3265217474131766,0.2926842927124331,0.2801463224412988,0.3058368921292204,0.6734782525868235,-0.38079395987439035
8,random_3,1.0,power_floor,0.4663142519130603,0.22663687900210747,0.21634209495143616,0.23704575446930323,0.5336857480869397,-0.3070488690848322
