window,fourier_mean,fourier_std_sample,txc_mean,txc_std_sample,fourier_minus_txc,dc_mass_mean,dc_mass_std_sample,ac_mass_mean,ordered_minus_reverse_mean,ordered_minus_shuffle_mean
1,0.21840174282708139,0.0016283305919452405,0.2177600805709575,0.004928995620124655,0.0006416622561238872,1.0,0.0,0.0,0.0,0.0
2,0.24281432458976185,0.01888105086577337,0.22888026441320922,0.006404103601810353,0.013934060176552632,0.7932350169205015,0.008612625819894169,0.20676498307949853,0.0012698685132602602,0.00045232565363731805
4,0.2428922395041083,0.012521351214416271,0.24655668852537252,0.007165802898924996,-0.0036644490212642267,0.6566184860156498,0.009221447681285192,0.34338151398435024,0.009560733487656589,0.008337810135347063
6,0.24461869602792263,0.005938144289627906,0.25121816193671537,0.005844498409952477,-0.006599465908792734,0.5982438160231435,0.012704230039631042,0.40175618397685653,0.014010650833989155,0.012284386321672286
10,0.2397851202287993,0.006701937732233818,0.25481848741262875,0.008453839938252728,-0.015033367183829444,0.5592205479407206,0.0018062521290273053,0.4407794520592794,0.005308727575125787,0.004819930215045983
