auxk,dead,fixed_validation_nmse,l0,learning_rate,loss,mse,mse_per_dimension,reconstruction_mse,reconstruction_mse_per_dimension,step,temp,threshold
0.0,0.0,0.9616246223449707,20.0,3e-07,10150.00390625,10148.4111328125,1.9821115493774415,4994.1337890625,0.9754167556762695,1.0,15.929708480834961,-1.0
0.0,0.0,0.9493632316589355,20.0,1.53e-05,9971.4287109375,9969.396484375,1.947147750854492,4872.5009765625,0.9516603469848632,51.0,20.324764251708984,-1.0
0.0,0.0,0.8785736560821533,20.0,3.0299999999999998e-05,9281.603515625,9274.041015625,1.811336135864258,4414.54443359375,0.8622157096862793,101.0,75.62409973144531,-1.0
0.0,0.0,0.7144215703010559,20.0,4.5299999999999997e-05,7693.9189453125,7671.7431640625,1.498387336730957,3568.469482421875,0.6969666957855225,151.0,221.75762939453125,-1.0
0.0,0.0,0.5695063471794128,20.0,6.0299999999999995e-05,6110.3037109375,6076.28515625,1.186774444580078,2799.734375,0.5468231201171875,201.0,340.18731689453125,-1.0
0.0,0.0,0.47788476943969727,20.0,7.529999999999999e-05,5006.86474609375,4965.513671875,0.9698268890380859,2294.611572265625,0.4481663227081299,251.0,413.51190185546875,-1.0
0.0,0.0,0.41889965534210205,20.0,9.029999999999999e-05,4097.3623046875,4057.0810546875,0.7923986434936523,1877.7142333984375,0.3667410612106323,301.0,402.8108215332031,-1.0
0.0,0.0,0.38005250692367554,20.0,0.00010529999999999998,3614.107177734375,3572.371826171875,0.6977288722991943,1628.669677734375,0.3180995464324951,351.0,417.35406494140625,-1.0
0.0,0.0,0.3526065945625305,20.0,0.0001203,3131.87353515625,3092.5341796875,0.6040105819702148,1396.18408203125,0.2726922035217285,401.0,393.393798828125,-1.0
0.0,0.0,0.3329455852508545,20.0,0.00013529999999999998,2816.937744140625,2775.15478515625,0.54202241897583,1226.3154296875,0.23951473236083984,451.0,417.83013916015625,-1.0
0.0,0.0,0.31704822182655334,20.0,0.0001503,2536.50146484375,2497.033203125,0.4877017974853516,1092.633544921875,0.21340498924255372,501.0,394.68292236328125,-1.0
0.0,0.0,0.3059038817882538,20.0,0.0001653,2358.952392578125,2316.20654296875,0.45238409042358396,1008.322265625,0.1969379425048828,551.0,427.4594421386719,-1.0
0.0,0.0,0.29760390520095825,20.0,0.00018029999999999996,2183.413330078125,2147.416259765625,0.4194172382354736,917.14697265625,0.17913026809692384,601.0,359.97052001953125,-1.0
0.0,0.0,0.29124006628990173,20.0,0.00019529999999999998,2071.91162109375,2033.8013916015625,0.3972268342971802,848.5252685546875,0.1657275915145874,651.0,381.1031494140625,-1.0
0.0,0.0,0.2858676612377167,20.0,0.00021029999999999996,1959.63671875,1925.3623046875,0.37604732513427735,790.0935668945312,0.15431514978408814,701.0,342.74420166015625,-1.0
0.0,0.0,0.2824414074420929,20.0,0.00022529999999999997,1912.6962890625,1877.5169677734375,0.3667025327682495,757.7593994140625,0.14799988269805908,751.0,351.79376220703125,-1.0
0.0,0.0,0.27989906072616577,20.0,0.00024029999999999999,1822.3233642578125,1785.98974609375,0.34882612228393556,705.465576171875,0.13778624534606934,801.0,363.3358459472656,-1.0
