auxk,dead,fixed_validation_nmse,l0,learning_rate,loss,mse,mse_per_dimension,reconstruction_mse,reconstruction_mse_per_dimension,step,threshold
0.0,0.0,0.9951152801513672,20.0,3e-07,5085.4140625,5085.4140625,0.9932449340820313,5085.4140625,0.9932449340820313,1.0,-1.0
0.0,0.0,0.9847575426101685,20.0,1.53e-05,4732.3310546875,4732.3310546875,0.9242834091186524,4732.3310546875,0.9242834091186524,51.0,-1.0
0.0,0.0,0.8688380122184753,20.0,3.0299999999999998e-05,4133.94482421875,4133.94482421875,0.8074110984802246,4133.94482421875,0.8074110984802246,101.0,-1.0
0.0,0.0,0.6672669053077698,20.0,4.5299999999999997e-05,3389.14794921875,3389.14794921875,0.6619429588317871,3389.14794921875,0.6619429588317871,151.0,-1.0
0.0,0.0,0.5477429628372192,20.0,6.0299999999999995e-05,2968.483642578125,2968.483642578125,0.57978196144104,2968.483642578125,0.57978196144104,201.0,-1.0
0.0,0.0,0.5127307176589966,20.0,7.529999999999999e-05,2850.7265625,2850.7265625,0.5567825317382813,2850.7265625,0.5567825317382813,251.0,-1.0
0.0,0.0,0.49393343925476074,20.0,9.029999999999999e-05,2729.400634765625,2729.400634765625,0.5330860614776611,2729.400634765625,0.5330860614776611,301.0,-1.0
0.0,0.0,0.4845678210258484,20.0,0.00010529999999999998,2676.32763671875,2676.32763671875,0.5227202415466309,2676.32763671875,0.5227202415466309,351.0,-1.0
0.0,0.0,0.47386521100997925,20.0,0.0001203,2578.478515625,2578.478515625,0.5036090850830078,2578.478515625,0.5036090850830078,401.0,-1.0
0.0,0.0,0.4686472415924072,20.0,0.00013529999999999998,2530.90625,2530.90625,0.494317626953125,2530.90625,0.494317626953125,451.0,-1.0
0.0,0.0,0.4670337438583374,20.0,0.0001503,2525.94873046875,2525.94873046875,0.4933493614196777,2525.94873046875,0.4933493614196777,501.0,-1.0
0.0,0.0,0.4661880433559418,20.0,0.0001653,2362.9853515625,2362.9853515625,0.4615205764770508,2362.9853515625,0.4615205764770508,551.0,-1.0
0.0,0.0,0.466402530670166,20.0,0.00018029999999999996,2329.3681640625,2329.3681640625,0.454954719543457,2329.3681640625,0.454954719543457,601.0,-1.0
0.0,0.0,0.4681059420108795,20.0,0.00019529999999999998,2360.6728515625,2360.6728515625,0.46106891632080077,2360.6728515625,0.46106891632080077,651.0,-1.0
0.0,0.0,0.46501025557518005,20.0,0.00021029999999999996,2330.4287109375,2330.4287109375,0.45516185760498046,2330.4287109375,0.45516185760498046,701.0,-1.0
0.0,0.0,0.4613347053527832,20.0,0.00022529999999999997,2244.809814453125,2244.809814453125,0.43843941688537597,2244.809814453125,0.43843941688537597,751.0,-1.0
0.0,0.0,0.4640645384788513,20.0,0.00024029999999999999,2291.3505859375,2291.3505859375,0.44752941131591795,2291.3505859375,0.44752941131591795,801.0,-1.0
0.0,0.0,0.46062538027763367,20.0,0.00025529999999999997,2249.0087890625,2249.0087890625,0.43925952911376953,2249.0087890625,0.43925952911376953,851.0,-1.0
0.0,0.0,0.46113741397857666,20.0,0.00027029999999999996,2113.362548828125,2113.362548828125,0.4127661228179932,2113.362548828125,0.4127661228179932,901.0,-1.0
