target,window_tokens,view,view_label,log_loss,balanced_accuracy,control_minus_ordered_equal_writer,ci95_lower,ci95_upper,writers_positive,writers_total
capped_token_label,1,ordered,Ordered history,1.423334002494812,0.3257942848976418,,,,,
capped_token_label,1,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.0,0.0,0.0,0,2510
capped_token_label,1,endpoint,Last token,1.423334002494812,0.3257942848976418,0.0,0.0,0.0,0,2510
capped_token_label,1,invariant_mean_std_max,Order-invariant summary,1.4256361722946167,0.3250682340381442,0.0015868430824065873,0.0006115668515978118,0.0025281203012651795,1187,2510
capped_token_label,1,ordered_retrained_shuffle,Shuffled history (refit),1.423334002494812,0.3257942848976418,0.0,0.0,0.0,0,2510
capped_token_label,2,ordered,Ordered history,1.3923407793045044,0.3532524362616998,,,,,
capped_token_label,2,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.039857234516890036,0.028864842895755426,0.05038420694035655,1481,2510
capped_token_label,2,endpoint,Last token,1.423334002494812,0.3257942848976418,0.039857234516890036,0.02985600613043757,0.04990918438417151,1481,2510
capped_token_label,2,invariant_mean_std_max,Order-invariant summary,1.4453520774841309,0.3357374345152331,0.0595943887395981,0.04605131441263087,0.0731370961724767,1457,2510
capped_token_label,2,ordered_retrained_shuffle,Shuffled history (refit),1.392340898513794,0.3532524362616998,-3.4563272655340164e-08,-2.0366213053132104e-07,1.4760506537171318e-07,1084,2510
capped_token_label,3,ordered,Ordered history,1.3330461978912354,0.3843805144984695,,,,,
capped_token_label,3,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.10477180784215466,0.0891039674703153,0.12096860272586887,1613,2510
capped_token_label,3,endpoint,Last token,1.423334002494812,0.3257942848976418,0.10477180784215466,0.08833839890377489,0.1198244879488238,1613,2510
capped_token_label,3,invariant_mean_std_max,Order-invariant summary,1.453621745109558,0.3299991094975488,0.14172522490950806,0.12450684635364613,0.15946815142330442,1645,2510
capped_token_label,3,ordered_retrained_shuffle,Shuffled history (refit),1.4855624437332153,0.30901290008732535,0.17396039515339484,0.15571697666879328,0.1927947682534023,1692,2510
capped_token_label,3,second_difference,Second differences,1.339409589767456,0.37191538295854504,0.00823762105073802,0.0024484591452662613,0.014280179472753144,1400,2510
capped_token_label,4,ordered,Ordered history,1.2812548875808716,0.42320848936262634,,,,,
capped_token_label,4,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.16070854617993965,0.14114367490441984,0.18169926417038879,1700,2510
capped_token_label,4,endpoint,Last token,1.423334002494812,0.3257942848976418,0.16070854617993965,0.14014719830993821,0.17975634321748005,1700,2510
capped_token_label,4,invariant_mean_std_max,Order-invariant summary,1.4614957571029663,0.31739449965201555,0.2100918458279805,0.1883018236261221,0.2303284231637638,1739,2510
capped_token_label,4,ordered_retrained_shuffle,Shuffled history (refit),1.5507454872131348,0.28712750668581466,0.3049622068505023,0.2817973726562723,0.3281138296463009,1843,2510
capped_token_label,4,second_difference,Second differences,1.339409589767456,0.37191538295854504,0.06417435995229233,0.05086666191954018,0.07778461366044531,1540,2510
capped_token_label,5,ordered,Ordered history,1.2432175874710083,0.45665386404338487,,,,,
capped_token_label,5,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.19912588964826317,0.17640699618101416,0.22043930589223737,1735,2510
capped_token_label,5,endpoint,Last token,1.423334002494812,0.3257942848976418,0.19912588964826317,0.17705697288924718,0.2211390075277777,1735,2510
capped_token_label,5,invariant_mean_std_max,Order-invariant summary,1.4756512641906738,0.30553420392206243,0.2684476341206239,0.24528930184433692,0.2924965162862248,1786,2510
capped_token_label,5,ordered_retrained_shuffle,Shuffled history (refit),1.5862407684326172,0.2663341176495061,0.3809808726933603,0.35454967796387876,0.40941362269823595,1856,2510
capped_token_label,5,second_difference,Second differences,1.339409589767456,0.37191538295854504,0.1025917036532827,0.08439883330121703,0.12030262846246269,1603,2510
capped_token_label,6,ordered,Ordered history,1.2392624616622925,0.4750364005208416,,,,,
capped_token_label,6,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.20122652085439072,0.17613398925396864,0.226184487391188,1714,2510
capped_token_label,6,endpoint,Last token,1.423334002494812,0.3257942848976418,0.20122652085439072,0.1774279526338425,0.22550848532484252,1714,2510
capped_token_label,6,invariant_mean_std_max,Order-invariant summary,1.4922027587890625,0.2955611478492781,0.2890783094510666,0.2627221869599722,0.314803460315751,1783,2510
capped_token_label,6,ordered_retrained_shuffle,Shuffled history (refit),1.631989598274231,0.2535884814862083,0.4159440787420033,0.3859335555100143,0.4468677606326584,1866,2510
capped_token_label,6,second_difference,Second differences,1.339409589767456,0.37191538295854504,0.1046923338761646,0.0834479650725825,0.12502377790648075,1576,2510
capped_token_label,7,ordered,Ordered history,1.2502996921539307,0.4718353663560377,,,,,
capped_token_label,7,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.19224758534010433,0.16681496623252562,0.21806778853066128,1699,2510
capped_token_label,7,endpoint,Last token,1.423334002494812,0.3257942848976418,0.19224758534010433,0.1657374211675587,0.21839027859734378,1699,2510
capped_token_label,7,invariant_mean_std_max,Order-invariant summary,1.5111020803451538,0.28572771619384923,0.2949963649328329,0.26729663141447535,0.32158478025866105,1772,2510
capped_token_label,7,ordered_retrained_shuffle,Shuffled history (refit),1.6710184812545776,0.2393106903023225,0.4615110035886454,0.42694967598355177,0.4927266000889856,1874,2510
capped_token_label,7,second_difference,Second differences,1.339409589767456,0.37191538295854504,0.09571339866931206,0.07293924931900583,0.11743773319273332,1570,2510
capped_token_label,8,ordered,Ordered history,1.2683677673339844,0.4693062403315711,,,,,
capped_token_label,8,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.17227261458692628,0.1459565536508493,0.1999343656085189,1670,2510
capped_token_label,8,endpoint,Last token,1.423334002494812,0.3257942848976418,0.17227261458692628,0.1446856950336029,0.1986256546902891,1670,2510
capped_token_label,8,invariant_mean_std_max,Order-invariant summary,1.5308812856674194,0.2755758048032278,0.2933521737121472,0.2647430600494017,0.32208848955961494,1771,2510
capped_token_label,8,ordered_retrained_shuffle,Shuffled history (refit),1.6910403966903687,0.2485124365206568,0.46040519468727026,0.42654820409344846,0.4947673607574812,1864,2510
capped_token_label,8,second_difference,Second differences,1.339409589767456,0.37191538295854504,0.07573842797126895,0.05203007831340711,0.10030005529549095,1549,2510
capped_token_label,9,ordered,Ordered history,1.2873908281326294,0.4711426408843324,,,,,
capped_token_label,9,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.15274299606293593,0.12427231254673596,0.1807652793151458,1632,2510
capped_token_label,9,endpoint,Last token,1.423334002494812,0.3257942848976418,0.15274299606293593,0.1233087392009466,0.1822747341836457,1632,2510
capped_token_label,9,invariant_mean_std_max,Order-invariant summary,1.5406999588012695,0.26923467553214764,0.2826571999774945,0.252714791424316,0.3129390657447725,1749,2510
capped_token_label,9,ordered_retrained_shuffle,Shuffled history (refit),1.7335293292999268,0.2423586363082671,0.47178997187485616,0.435123904998135,0.5081222620739814,1842,2510
capped_token_label,9,second_difference,Second differences,1.339409589767456,0.37191538295854504,0.056208808866257134,0.030850950796390185,0.08014147374572358,1502,2510
capped_token_label,10,ordered,Ordered history,1.3043078184127808,0.4662851677370023,,,,,
capped_token_label,10,best_offset,Best single offset,1.423334002494812,0.3257942848976418,0.13265447529891794,0.1028733863876191,0.1625773014797225,1582,2510
capped_token_label,10,endpoint,Last token,1.423334002494812,0.3257942848976418,0.13265447529891794,0.10252726863467217,0.16133843712779306,1582,2510
capped_token_label,10,invariant_mean_std_max,Order-invariant summary,1.5493919849395752,0.2609126364029346,0.27013360708993694,0.2385224668614474,0.30092497304583643,1722,2510
capped_token_label,10,ordered_retrained_shuffle,Shuffled history (refit),1.7797365188598633,0.23213075672561773,0.5013205305917724,0.46273213527641655,0.5398907383030234,1861,2510
capped_token_label,10,second_difference,Second differences,1.339409589767456,0.37191538295854504,0.0361202885905842,0.009893343904949385,0.061922298645232327,1467,2510
