target,window_tokens,view,view_label,log_loss,balanced_accuracy,control_minus_ordered_equal_writer,ci95_lower,ci95_upper,writers_positive,writers_total
lexical_label,1,ordered,Ordered history,1.2288585901260376,0.28190167373296793,,,,,
lexical_label,1,best_offset,Best single offset,1.2288585901260376,0.28190167373296793,0.0,0.0,0.0,0,2510
lexical_label,1,endpoint,Last token,1.2288585901260376,0.28190167373296793,0.0,0.0,0.0,0,2510
lexical_label,1,invariant_mean_std_max,Order-invariant summary,1.230934500694275,0.28339239415406614,0.0019443897977719487,0.0014249222649942907,0.002455047392369664,1276,2510
lexical_label,1,ordered_retrained_shuffle,Shuffled history (refit),1.2288585901260376,0.28190167373296793,0.0,0.0,0.0,0,2510
lexical_label,2,ordered,Ordered history,1.2140268087387085,0.30874152381350306,,,,,
lexical_label,2,best_offset,Best single offset,1.217457890510559,0.29300465464062714,0.004966829438087163,-0.0030679113200043125,0.013214445940092594,1341,2510
lexical_label,2,endpoint,Last token,1.2288585901260376,0.28190167373296793,0.01795850400169393,0.008391091756935037,0.02742170115077129,1407,2510
lexical_label,2,invariant_mean_std_max,Order-invariant summary,1.2320636510849,0.3022147151758413,0.017647943710306504,0.007771358782688965,0.027462845722395893,1368,2510
lexical_label,2,ordered_retrained_shuffle,Shuffled history (refit),1.2140268087387085,0.30874152381350306,2.7924770955970046e-09,-1.4346133186760831e-08,1.9320198863970622e-08,1064,2510
lexical_label,3,ordered,Ordered history,1.1940902471542358,0.3314363320878356,,,,,
lexical_label,3,best_offset,Best single offset,1.1943303346633911,0.30481737650303536,0.0049155569880685035,-0.006032255772002407,0.016261665636799493,1341,2510
lexical_label,3,endpoint,Last token,1.2288585901260376,0.28190167373296793,0.035786853733020776,0.022266965848902764,0.049160218292717266,1450,2510
lexical_label,3,invariant_mean_std_max,Order-invariant summary,1.2159028053283691,0.30331530999255435,0.021277418358571942,0.007480930283226085,0.03456269120609586,1407,2510
lexical_label,3,ordered_retrained_shuffle,Shuffled history (refit),1.2348754405975342,0.3056492943851425,0.044254548965305236,0.031031606745104603,0.05715704621075268,1455,2510
lexical_label,3,second_difference,Second differences,1.190614938735962,0.3247078988223625,-0.004133034588776499,-0.008686523449066744,0.0003047349746460767,1337,2510
lexical_label,4,ordered,Ordered history,1.1750110387802124,0.3520133754915604,,,,,
lexical_label,4,best_offset,Best single offset,1.183091402053833,0.31000020828774644,0.01281089168832154,-0.002188806745751106,0.027046941238037112,1361,2510
lexical_label,4,endpoint,Last token,1.2288585901260376,0.28190167373296793,0.05312745693687371,0.03558886150666133,0.06916768174784206,1491,2510
lexical_label,4,invariant_mean_std_max,Order-invariant summary,1.2054866552352905,0.3191947829682072,0.03084667391593979,0.015434284207702556,0.04647332428371073,1462,2510
lexical_label,4,ordered_retrained_shuffle,Shuffled history (refit),1.2514702081680298,0.3044139849889187,0.07481690060481358,0.05834834410315723,0.09221839120610388,1497,2510
lexical_label,4,second_difference,Second differences,1.190614938735962,0.3247078988223625,0.013207568662158544,0.003670645994378905,0.023273191059871377,1433,2510
lexical_label,5,ordered,Ordered history,1.1779104471206665,0.3652863142934224,,,,,
lexical_label,5,best_offset,Best single offset,1.183091402053833,0.31000020828774644,0.00745531173862215,-0.008833583309812576,0.023582352139973242,1373,2510
lexical_label,5,endpoint,Last token,1.2288585901260376,0.28190167373296793,0.047771877806455844,0.02842035440929143,0.06733682645684011,1489,2510
lexical_label,5,invariant_mean_std_max,Order-invariant summary,1.209264874458313,0.3209394400754645,0.033427983448217784,0.016076404580512953,0.05033141445538976,1449,2510
lexical_label,5,ordered_retrained_shuffle,Shuffled history (refit),1.2779412269592285,0.300220279065246,0.10236146874133074,0.0833940202219201,0.12311598541774645,1544,2510
lexical_label,5,second_difference,Second differences,1.190614938735962,0.3247078988223625,0.007851988833538624,-0.005029004273675957,0.020869021620010055,1380,2510
lexical_label,6,ordered,Ordered history,1.1860250234603882,0.37279451665706553,,,,,
lexical_label,6,best_offset,Best single offset,1.183091402053833,0.31000020828774644,-0.005941676574372081,-0.024446415849254614,0.012077865733247806,1351,2510
lexical_label,6,endpoint,Last token,1.2288585901260376,0.28190167373296793,0.03437488910770396,0.014458004731400957,0.054526238801778495,1470,2510
lexical_label,6,invariant_mean_std_max,Order-invariant summary,1.2235833406448364,0.31470834977822104,0.03674588177457036,0.016580246934650763,0.05615818515286384,1442,2510
lexical_label,6,ordered_retrained_shuffle,Shuffled history (refit),1.3082118034362793,0.302138653516739,0.11884325430116488,0.09619797359871568,0.14160604652407735,1532,2510
lexical_label,6,second_difference,Second differences,1.190614938735962,0.3247078988223625,-0.005545000132406131,-0.01994132709145452,0.009902063199733238,1322,2510
lexical_label,7,ordered,Ordered history,1.1962636709213257,0.3767543208421996,,,,,
lexical_label,7,best_offset,Best single offset,1.183091402053833,0.31000020828774644,-0.015281558980649538,-0.03589425345017137,0.003662347183776153,1352,2510
lexical_label,7,endpoint,Last token,1.2288585901260376,0.28190167373296793,0.02503500680867731,0.004141735221828386,0.0462542251093671,1457,2510
lexical_label,7,invariant_mean_std_max,Order-invariant summary,1.2352439165115356,0.3070846164556434,0.0397252639367401,0.0182724032000466,0.060692447762899476,1470,2510
lexical_label,7,ordered_retrained_shuffle,Shuffled history (refit),1.3410446643829346,0.28544849690346275,0.14906664903350342,0.12321045897620166,0.17367532498623772,1572,2510
lexical_label,7,second_difference,Second differences,1.190614938735962,0.3247078988223625,-0.01488488215254185,-0.031225474732288903,0.0017839920431982335,1307,2510
lexical_label,8,ordered,Ordered history,1.2136874198913574,0.3718252369115859,,,,,
lexical_label,8,best_offset,Best single offset,1.183091402053833,0.31000020828774644,-0.0314176600492064,-0.0519120469633324,-0.010430272257707943,1317,2510
lexical_label,8,endpoint,Last token,1.2288585901260376,0.28190167373296793,0.008898904472921115,-0.011997192103682821,0.031298519994730045,1441,2510
lexical_label,8,invariant_mean_std_max,Order-invariant summary,1.246769666671753,0.2980570814446994,0.03500942593400758,0.012510309926592708,0.057783303022100205,1459,2510
lexical_label,8,ordered_retrained_shuffle,Shuffled history (refit),1.3622889518737793,0.2860155949906178,0.14586785199918445,0.11996475009372251,0.17148767787323854,1552,2510
lexical_label,8,second_difference,Second differences,1.190614938735962,0.3247078988223625,-0.031020983596685966,-0.04926328289001728,-0.013411026999286648,1291,2510
lexical_label,9,ordered,Ordered history,1.232363224029541,0.37118684717212463,,,,,
lexical_label,9,best_offset,Best single offset,1.183091402053833,0.31000020828774644,-0.05146164241083619,-0.0729239488943235,-0.029931959575144183,1308,2510
lexical_label,9,endpoint,Last token,1.2288585901260376,0.28190167373296793,-0.011145076401189872,-0.035273836594488274,0.01155464289073467,1391,2510
lexical_label,9,invariant_mean_std_max,Order-invariant summary,1.2552441358566284,0.28947138477534057,0.021753249695850164,-0.0019430537108831435,0.045061563917577624,1433,2510
lexical_label,9,ordered_retrained_shuffle,Shuffled history (refit),1.3916234970092773,0.2849150035969721,0.1546452836328715,0.12492287565813459,0.1843247162480069,1556,2510
lexical_label,9,second_difference,Second differences,1.190614938735962,0.3247078988223625,-0.05106496501035559,-0.07068712677108531,-0.032390695537200434,1294,2510
lexical_label,10,ordered,Ordered history,1.2525124549865723,0.3648258135200915,,,,,
lexical_label,10,best_offset,Best single offset,1.183091402053833,0.31000020828774644,-0.07367642525158195,-0.09727775808003723,-0.0501111983264443,1281,2510
lexical_label,10,endpoint,Last token,1.2288585901260376,0.28190167373296793,-0.03335985956962041,-0.05844014605607437,-0.009685554600006124,1378,2510
lexical_label,10,invariant_mean_std_max,Order-invariant summary,1.2618327140808105,0.2798706120223286,0.006497527285297197,-0.020403299387254516,0.030547792104425826,1414,2510
lexical_label,10,ordered_retrained_shuffle,Shuffled history (refit),1.420332908630371,0.2732183743528572,0.16444997296573974,0.13429591634963356,0.19607409773344836,1547,2510
lexical_label,10,second_difference,Second differences,1.190614938735962,0.3247078988223625,-0.07327974791159905,-0.09422647210999113,-0.05294795886125911,1237,2510
