S,txc_pr_auc_mean,txc_pr_auc_sd,txc_roc_auc_mean,txc_roc_auc_sd,tsae16_seed42_pr_auc,submitted_tsae32_seed42_pr_auc,submitted_sae32_seed42_pr_auc,submitted_txc_base_seed42_pr_auc
1,0.1468878326609067,0.016694015309335383,0.5622966366273938,0.033339693463613235,0.16434924580280155,0.158,0.13,0.143
2,0.15565072015457607,0.020125336568200293,0.5768896357356049,0.02319413467368034,0.16492089928653517,0.164,0.132,0.168
4,0.17064711554445355,0.01418718807774225,0.6011507605915242,0.022906016735130718,0.19484223143844454,0.169,0.137,0.177
8,0.1874113463926792,0.007970440907422827,0.6262687568515811,0.011652464859906286,0.20425840725398592,0.196,0.175,0.201
16,0.23144422563092368,0.007244203942583816,0.6599372730614906,0.004281480155641676,0.21298159568048192,0.213,0.196,0.217
32,0.2567557136656478,0.004781585048790459,0.6919162476273838,0.009001424434249158,0.22850374290526787,0.245,0.229,0.25
