label,cell_id,n_steps_logged,final_fvu_eval,final_fvu_train,final_window_L0,mean_L0_late,n_dead_late,fve_held_out,stopped_early
TXC,txc__resid_L10__k16__s42,3601,0.09104657918214798,0.014410934410989285,95.734375,95.89453125,0,0.908953420817852,True
TXC-H8,txc_h8__resid_L10__k16__s42,6201,0.502394437789917,0.5140929818153381,96.0,95.79086538461539,559,0.497605562210083,True
SAE,topk_sae__ln1_L10__k64__s42,9201,0.03625050559639931,0.036551374942064285,214.6796875,216.7902960526316,0,0.9637494944036007,True
TSAE-paper,tsae__resid_L10__k32__s42,15000,0.07081304490566254,0.06960730254650116,88.640625,94.57535282258064,0,0.9291869550943375,False
TFA,tfa__resid_L10__k32__s42,5501,0.11354857683181763,0.011867629364132881,102.8671875,104.04817708333333,0,0.8864514231681824,True
MLC,mlc__resid_L10__k32__s42,4201,0.07372532784938812,0.07553590834140778,159.265625,159.25520833333334,0,0.9262746721506119,True
