task,task_label,family,window,model,model_label,n,seeds,d_sae,parameter_count,direct_latent_r2_mean,direct_latent_r2_std,paired_delta_vs_txc_mean,paired_delta_vs_txc_std,raw_projection_r2_mean,raw_projection_r2_std,latent_r2_mean,latent_r2_std,nmse_mean,nmse_std,l0_per_window_mean,l0_per_window_std,temporal_basis,bands,frequency_bin_bands,expected_power_by_band,selection_event_share,adaptive_difficulty_weight,difficulty_weight_prior,frequency_routing_scale
hmm_mixed_t8_matched_params,Mixed HMM $T=8$,factorial_hmm,8,txc,TXC-post,2,"[1,2]",64,16576,0.7191414084451867,0.008544986155590932,0.0,0.0,0.7494392452510215,0.0,0.7425461393769088,0.010408078010504909,0.4996349811553955,0.0074483596562392364,8.01904296875,0.02554975674209205,,,,,,,,
hmm_mixed_t8_matched_params,Mixed HMM $T=8$,factorial_hmm,8,spectral_global,Spectral global,2,"[1,2]",254,16606,0.7003139034498165,0.0001058839368740058,-0.018827504995370226,0.008650870092464938,0.7494392452510215,0.0,0.7133474257020874,0.0011601700036859136,0.48635950684547424,0.00290349639391549,8.0126953125,0.12015291008443288,dct,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1,2],[3,4],[5,6,7]]","[0.2863833125,0.1761948388987667,0.11319607808847497,0.42422577051275834]","[0.19815187764000453,0.23835542318675557,0.1903313444754019,0.37316135469783795]",,,
hmm_mixed_t8_matched_params,Mixed HMM $T=8$,factorial_hmm,8,spectral_adaptive,Spectral adaptive weights,2,"[1,2]",253,16545,0.6937946989237183,0.00014985375600650504,-0.02534670952146839,0.008694839911597438,0.7494392452510215,0.0,0.7055488301615869,2.9368159184022244e-05,0.48890604078769684,1.291800906858902e-05,8.044921875,0.027621358640099514,dct,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1,2],[3,4],[5,6,7]]","[0.2863833125,0.1761948388987667,0.11319607808847497,0.42422577051275834]","[0.196728612478716,0.23715293774575547,0.19000086075388273,0.3761175890216458]","[0.0673887213124299,0.26736112141617197,0.3804012863100144,0.28484887096138367]","[0.125,0.25,0.25,0.375]",
narrowband_offgrid_t8_matched_params,Off-grid narrowband $T=8$,narrowband_sources,8,txc,TXC-post,2,"[1,2]",64,16576,0.7147859408798922,0.001816019369393756,0.0,0.0,-0.10156640231339811,0.0,0.8304388945790406,0.008377635064598479,0.5887964963912964,0.0036552275839557957,8.04052734375,0.11117596852640053,,,,,,,,
narrowband_offgrid_t8_matched_params,Off-grid narrowband $T=8$,narrowband_sources,8,spectral_global,Spectral global,2,"[1,2]",254,16606,0.3846852229974079,0.006708290082493809,-0.3301007178824842,0.004892270713100054,-0.10156640231339811,0.0,0.6849930005637641,0.011902087351015011,0.594885915517807,0.0049018049223625085,8.18359375,0.02209708691207961,dct,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1,2],[3,4],[5,6,7]]","[0.07380949012991334,0.2649964920897416,0.2527524188304161,0.408441598949929]","[0.11892584897157304,0.2699968201108154,0.2705039014695355,0.340573429448076]",,,
narrowband_offgrid_t8_matched_params,Off-grid narrowband $T=8$,narrowband_sources,8,spectral_adaptive,Spectral adaptive weights,2,"[1,2]",253,16545,0.38280664748735804,0.0007642181609279139,-0.3319792933925341,0.00258023753032167,-0.10156640231339811,0.0,0.6827393470818655,0.0027039077403488146,0.5942399501800537,0.0011025615570449878,8.197265625,0.0731966003962637,dct,"[[0],[1,2],[3,4],[5,6,7]]","[[0],[1,2],[3,4],[5,6,7]]","[0.07380949012991334,0.2649964920897416,0.2527524188304161,0.408441598949929]","[0.11834712671520015,0.26887018816964925,0.2697642546381037,0.34301843047704683]","[0.15774918744494631,0.246781321316924,0.24889808344472766,0.346571407793402]","[0.125,0.25,0.25,0.375]",
narrowband_offgrid_t16_matched_params,Off-grid narrowband $T=16$,narrowband_sources,16,txc,TXC-post,2,"[1,2]",64,33088,0.8163505104118984,8.975625792258585e-05,0.0,0.0,-0.10099699831513645,0.0,0.917032513925385,0.0003806818524548858,0.6082614064216614,0.0003212432793500343,15.8916015625,0.09805582317235327,,,,,,,,
narrowband_offgrid_t16_matched_params,Off-grid narrowband $T=16$,narrowband_sources,16,spectral_global,Spectral global,2,"[1,2]",255,33119,0.6549079363464951,0.0029645341306510017,-0.1614425740654033,0.002874777872728416,-0.10099699831513645,0.0,0.8914882705967785,0.006778201062723488,0.5680122971534729,0.0019601656305446597,16.0732421875,0.00966747552403483,dct,"[[0],[1,2,3,4,5],[6,7,8,9,10],[11,12,13,14,15]]","[[0],[1,2,3,4,5],[6,7,8,9,10],[11,12,13,14,15]]","[0.01080914957156503,0.2869662623771466,0.36881535613177335,0.33340923191951505]","[0.07228435732414454,0.3013752430598814,0.31820018106324083,0.3081402185527333]",,,
narrowband_offgrid_t16_matched_params,Off-grid narrowband $T=16$,narrowband_sources,16,spectral_adaptive,Spectral adaptive weights,2,"[1,2]",255,33123,0.6548780276803774,0.0035934928619666315,-0.16147248273152098,0.0035037366040440456,-0.10099699831513645,0.0,0.8915795787179557,0.007515261378790896,0.5680956542491913,0.002441356199993537,16.06640625,0.03314563036811941,dct,"[[0],[1,2,3,4,5],[6,7,8,9,10],[11,12,13,14,15]]","[[0],[1,2,3,4,5],[6,7,8,9,10],[11,12,13,14,15]]","[0.01080914957156503,0.2869662623771466,0.36881535613177335,0.33340923191951505]","[0.07230985101620255,0.3013506176248973,0.31808960073054976,0.30824993062835043]","[0.07998757869160411,0.336710470446546,0.284094618901253,0.2992073319605968]","[0.0625,0.3125,0.3125,0.3125]",
