target,datasource,target_kind,tile_size,power_full_score_mean,power_full_fold_std_mean,power_full_null_mean,power_full_chance_mean,power_ac_score_mean,power_ac_fold_std_mean,power_ac_null_mean,power_ac_chance_mean,cross_full_score_mean,cross_full_fold_std_mean,cross_full_null_mean,cross_full_chance_mean,cross_ac_score_mean,cross_ac_fold_std_mean,cross_ac_null_mean,cross_ac_chance_mean,dc_vector_score_mean,dc_vector_fold_std_mean,dc_vector_null_mean,dc_vector_chance_mean,power_full_score_seed_std,power_ac_score_seed_std,cross_full_score_seed_std,cross_ac_score_seed_std,dc_vector_score_seed_std
assumption_next_state,toy_assumption_consequence_d64,classification,4,0.35332605418178664,0.057557074220907556,0.30103992542232366,0.3333333333333333,0.362589538118117,0.08618127339530746,0.3419578479461507,0.3333333333333333,0.34237094269233875,0.04803015356347012,0.31502447433461644,0.3333333333333333,0.33669838697876103,0.06911529224437783,0.3174564618230476,0.3333333333333333,0.3863328326503865,0.06332462178647362,0.3528128482239705,0.3333333333333333,0.052386905041954646,0.04503161881482683,0.021675044110525832,0.018591169478838338,0.023728193592780337
assumption_next_state,toy_assumption_consequence_d64,classification,8,0.33712072498719037,0.06590729078729064,0.3111446003936275,0.3333333333333333,0.3307625972924089,0.052163492072319136,0.32138363974098755,0.3333333333333333,0.30546755356383115,0.041180879040992,0.32904451792506384,0.3333333333333333,0.29756297789297154,0.04147549994453297,0.3386539477002309,0.3333333333333333,0.36082468447199556,0.06941459596887793,0.38350031956682046,0.3333333333333333,0.023502047630469126,0.01848216795632083,0.022842864327167634,0.006542869580385417,0.026282897979918084
assumption_next_state,toy_assumption_consequence_d64,classification,16,0.3320985265506956,0.034646759450353865,0.3459869174339261,0.3333333333333333,0.34051604812983194,0.04777489558261311,0.34556091646787296,0.3333333333333333,0.331166484712091,0.026961915109134992,0.3500966627412862,0.3333333333333333,0.3290738536703961,0.04189563432600257,0.33158458717204947,0.3333333333333333,0.3550877014830018,0.07243139403980474,0.37045366731431306,0.3333333333333333,0.01866066247806078,0.02738617435234246,0.029726189534140652,0.010960188914499472,0.027648655998925586
assumption_next_state,toy_assumption_consequence_d64,classification,32,0.32534096832958315,0.04808080147292157,0.3425521179153625,0.3333333333333333,0.3223183285604222,0.047467352109938264,0.3391057392362531,0.3333333333333333,0.3126720030297671,0.02537700287008666,0.34471552227391333,0.3333333333333333,0.3085761003087853,0.026420215129342294,0.3441116528364104,0.3333333333333333,0.3722629204784486,0.09140738537999464,0.3896717909094445,0.3333333333333333,0.027246276015953964,0.018825884193550184,0.042436398448952604,0.03553645276744823,0.01842224664119076
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,4,0.867690886664828,0.05372360296438696,-0.07982403173099821,0.0,0.4448134925477891,0.12621021095730983,-0.07923020236130093,0.0,0.8605339007706804,0.0458231032305535,-0.3791593232467381,0.0,0.20654217695476149,0.18245452707846285,-0.4962883849752247,0.0,0.6511059175524417,0.0948925512494293,-0.03577252792568914,0.0,0.03065746026476928,0.1358568259009484,0.025102131216851516,0.2104353991786695,0.05283588197104337
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,8,0.15782090681107042,0.23623701122810678,-0.11852324182014708,0.0,0.2085513588638054,0.1603870008312473,-0.08521608368983202,0.0,-0.9576582844021427,0.6674350163164072,-2.112029503805038,0.0,-0.6125061595942384,0.5078777252410769,-1.4686372605456681,0.0,0.43811047542188297,0.13791747198033402,-0.023485327277997275,0.0,0.08780737432400126,0.03880800878577029,0.3686390118202355,0.1557736877176764,0.02240700994310675
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,16,-0.19557053600331473,0.09980854259094611,-0.20998476074789496,0.0,0.007393236525079431,0.10999423920082091,-0.19421681403304514,0.0,-5.758871213616139,2.4958191059659955,-4.893928755760545,0.0,-5.52165858964469,2.2528417368499585,-6.392516080827579,0.0,0.18536224259416043,0.08511126082570593,-0.03133651136139581,0.0,0.034082037244290625,0.05177302298355751,1.014459380587804,0.7491246307364732,0.019141161406466156
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,32,-0.5551885906793287,0.24545889038308943,-0.6411611736102415,0.0,-0.47661769140573096,0.21444211750747413,-0.5885609614786733,0.0,-1.4995521528177649,0.5496847900846361,-1.416474410297569,0.0,-1.4694981558763505,0.5061425397447946,-1.4871132471284956,0.0,0.04188281163499935,0.09568178885335928,-0.04172152926699293,0.0,0.09673812539808276,0.11592563770577877,0.2127599772149697,0.27733747585127205,0.030492380889329512
changepoint_mode,toy_changepoint_modes_d64,classification,4,0.29171499796499795,0.032728120388496255,0.12542702392063848,0.125,0.2817930217930218,0.05229480783130014,0.13834088515686813,0.125,0.22309324934324937,0.031001452308946364,0.11807914558495054,0.125,0.241240194990195,0.04827419245900724,0.12866195312112497,0.125,0.4776162263662263,0.0503659434901752,0.12683459560878294,0.125,0.013666656673513813,0.0019361139390712317,0.03217394303946148,0.01790832698251289,0.03609285322230047
changepoint_mode,toy_changepoint_modes_d64,classification,8,0.12250701844451846,0.02857809937666561,0.11649839586081845,0.125,0.15164284789284788,0.028162638839600084,0.11852942115790412,0.125,0.11808205683205682,0.034181751432666184,0.1182887027761254,0.125,0.12158919783919785,0.03940835236051052,0.1156437077069817,0.125,0.33186884874384875,0.03618620368391642,0.12099011166851724,0.125,0.02567221842955373,0.025516577301041645,0.03199512649386566,0.006849269777461842,0.016412402018337845
changepoint_mode,toy_changepoint_modes_d64,classification,16,0.13700579853153383,0.04225705873524644,0.11029047957260031,0.125,0.14810367056690588,0.03193873913479766,0.13021642236619016,0.125,0.118308731709467,0.03472320773731881,0.11870706334715624,0.125,0.1212944449341508,0.032667027930265956,0.11299138114637342,0.125,0.2642338713846067,0.028886279814946306,0.12101586261319235,0.125,0.0064383673322076455,0.0167037798651837,0.02022794339135137,0.014412722425082437,0.02436598466385293
changepoint_mode,toy_changepoint_modes_d64,classification,32,0.12297913891663892,0.03428096430173892,0.13744081089475826,0.125,0.12254193722943724,0.031414305400778435,0.14090842797982892,0.125,0.13930916305916305,0.024212860719381543,0.13366831028305487,0.125,0.14344738594738596,0.025482209384827745,0.1277963494981684,0.125,0.21694451381951385,0.05177847525585994,0.11528746383332296,0.125,0.012972770382038267,0.01363267884625155,0.004807992699490973,0.013166341880735833,0.0022463580774674152
changepoint_tss,toy_changepoint_modes_d64,regression,4,0.022351890407732295,0.10678708510300634,-0.06177033844478818,0.0,0.4344386133516828,0.1061426132665177,-0.06729791663815322,0.0,-0.16116985199059175,0.1537009855324545,-0.4167739085502822,0.0,0.25653220857879006,0.15131393497594212,-0.3713917949825955,0.0,-0.052750061931987974,0.0388626187147549,-0.03191896548998926,0.0,0.05281537758941771,0.03401360351170011,0.03150613017810117,0.05201639972048644,0.02141806895705414
changepoint_tss,toy_changepoint_modes_d64,regression,8,-0.09787121680018161,0.10392526315111299,-0.14545659344605816,0.0,-0.14699566205236592,0.11458304968784398,-0.10108565892410264,0.0,-1.6871012395713472,0.5957962210648688,-1.7642094627171627,0.0,-1.4588044200187007,0.5584834819922678,-1.203940200617714,0.0,-0.06361193169039181,0.059032067143785526,-0.02742652533934851,0.0,0.02083904401003805,0.08119375655598256,0.07545585161670423,0.044876880654991694,0.009265412984711304
changepoint_tss,toy_changepoint_modes_d64,regression,16,-0.21945460672540376,0.12361495419469719,-0.24514978848210292,0.0,-0.1973691504893327,0.11953711788654385,-0.21850215777861112,0.0,-4.187036340671529,1.0185769843103702,-5.345923840446079,0.0,-4.3920268301302166,0.6038892961141595,-6.171256470345205,0.0,-0.031298638648013445,0.04338648821602037,-0.051494033855964016,0.0,0.041529927327484215,0.015317197781956176,0.8441208903198089,0.3909532481145354,0.005913108364400824
changepoint_tss,toy_changepoint_modes_d64,regression,32,-0.5177328712813425,0.30409509873972707,-0.5678552724862086,0.0,-0.46136097461227094,0.2742233789826586,-0.5234343163049817,0.0,-1.0720659116832998,0.33666037791371056,-1.2425904724334706,0.0,-1.042757859827519,0.2945389079807702,-1.2459228202099826,0.0,-0.03811160480593737,0.044740503398559374,-0.03503720796656785,0.0,0.0827817450301756,0.08109926425005626,0.13065424539893566,0.09469355972329216,0.027573992630196907
frequency_velocity,toy_cyclic_circle_M101_d128,classification,4,0.38636970436970436,0.03494263642298815,0.09550450094567742,0.10000000000000002,0.6248395308395308,0.041480109705880924,0.09176028220145867,0.10000000000000002,0.31540886890886893,0.04183861917521753,0.08370429461605931,0.10000000000000002,0.49448421948421944,0.043574827497092385,0.09355391068626362,0.10000000000000002,0.12697633847633846,0.024070589569596384,0.10458005230064053,0.10000000000000002,0.01071817087585006,0.012110424437267597,0.012241646615488225,0.027841069656283676,0.014878718948175917
frequency_velocity,toy_cyclic_circle_M101_d128,classification,8,0.6925400895400896,0.029538562704876457,0.11278278910631852,0.10000000000000002,0.8244983164983166,0.027783034935544678,0.10562973137973138,0.10000000000000002,0.5277279387279387,0.036237267033437555,0.09877824191059487,0.10000000000000002,0.7055009805009805,0.0316721837080231,0.09433632924809394,0.10000000000000002,0.14245926295926295,0.02790800454413188,0.10095624527977469,0.10000000000000002,0.011346854696308598,0.018575953479760033,0.01844576847326513,0.009378243357067422,0.02012878833318363
frequency_velocity,toy_cyclic_circle_M101_d128,classification,16,0.7810079365079364,0.023833130224046897,0.09543023262140908,0.10000000000000002,0.8972176527176527,0.0176495604085117,0.09893457740516565,0.10000000000000002,0.7163259703259705,0.03223976438190616,0.10227616337910456,0.10000000000000002,0.7733374218374219,0.021434499997788587,0.09960598551775023,0.10000000000000002,0.14368361268361265,0.03683247772240295,0.10129509161862103,0.10000000000000002,0.037579918283564634,0.018886002394454735,0.004864353919756973,0.02056460190742837,0.011874073091695608
frequency_velocity,toy_cyclic_circle_M101_d128,classification,32,0.8847590187590187,0.023909347016020887,0.09523846687081981,0.10000000000000002,0.9913535353535353,0.0064052728152351615,0.1067947292359057,0.10000000000000002,0.8154665704665706,0.02438563163555348,0.08930959944195238,0.10000000000000002,0.8638398268398269,0.022906484187824913,0.10610423236893825,0.10000000000000002,0.15615108965108968,0.03439925608584983,0.10396786057080175,0.10000000000000002,0.004480939348706172,0.0027748929004777737,0.0077914309822478085,0.011890403777504386,0.005120763518619262
hedging_confidence,toy_hedging_drift_d64,regression,4,-0.03521825254718431,0.02600988882983843,-0.08853362460504133,0.0,-0.043797526307354284,0.043125771363207464,-0.056193108610647635,0.0,-0.3080623572106061,0.07401661141878767,-0.43385281973165307,0.0,-0.3501149120525064,0.1348590834425201,-0.3891151786855753,0.0,0.30719027131162874,0.056505381030465714,-0.017411095053964296,0.0,0.018261190072637778,0.007745632601417679,0.03198058275814705,0.10567431212908936,0.028888122144494596
hedging_confidence,toy_hedging_drift_d64,regression,8,-0.13440452952392726,0.07520042791943538,-0.1497132620642353,0.0,-0.08180402478413239,0.054945421867751754,-0.1222370816146411,0.0,-2.4657134475488216,0.849321115726864,-2.481128384176523,0.0,-1.7330491486929558,0.45390254360655513,-1.7755940456556336,0.0,0.16018030208337744,0.0796991071844957,-0.046146207947783846,0.0,0.030224740478934146,0.014988151137722214,0.4925582301907189,0.2861425458615857,0.008225701460393947
hedging_confidence,toy_hedging_drift_d64,regression,16,-0.2627590577459324,0.11225591670215572,-0.2987359667135911,0.0,-0.23304555992748752,0.13215688758498234,-0.2558692312884668,0.0,-6.976389514601768,1.6306402251762513,-6.885945670021994,0.0,-7.256979999049684,1.4531911929569272,-7.025474766750119,0.0,0.12206380560837142,0.0869165580618948,-0.056746292974851835,0.0,0.010606165554586674,0.021305518833174112,0.7803276251564375,0.7604696197953071,0.017539469574605806
hedging_confidence,toy_hedging_drift_d64,regression,32,-0.5763558521300917,0.11547161502725527,-0.5284912259676892,0.0,-0.5371552038590921,0.07371652404632811,-0.45127642026134757,0.0,-1.7222505302957096,0.32528419211040294,-1.626852896587705,0.0,-1.5013325725897377,0.278523178868162,-1.3763175280132964,0.0,0.10868365995429075,0.05642789590926045,-0.04227034827132958,0.0,0.1412504755110547,0.12259795308376123,0.16012291111203733,0.2874816304285483,0.023331570674852715
permuted_schedule,toy_permuted_circle_M101_d128,classification,4,0.10584952084952086,0.02284607622114908,0.10065894182070652,0.10000000000000002,0.1281015281015281,0.024164475694077103,0.08634277269571387,0.10000000000000002,0.10473750323750325,0.03609221823134382,0.0753963258963259,0.10000000000000002,0.1140918155918156,0.026553680569451007,0.09821982266099911,0.10000000000000002,0.10948860398860398,0.024939072119579617,0.09079925249042896,0.10000000000000002,0.007550779547809456,0.013106980049680557,0.022270404519465346,0.016067091290250368,0.014156220434771377
permuted_schedule,toy_permuted_circle_M101_d128,classification,8,0.12174074074074075,0.03702966376683622,0.09515485603720897,0.10000000000000002,0.129493265993266,0.02377970014183629,0.08484377278494926,0.10000000000000002,0.12164853664853666,0.03213825367089288,0.08121475365593012,0.10000000000000002,0.12663986013986014,0.03289926768488032,0.08211434099669394,0.10000000000000002,0.12642799792799794,0.04273045046155264,0.08608794527912174,0.10000000000000002,0.015514813112278255,0.015120304836155405,0.002676831655457491,0.01627009504529735,0.007317620581309723
permuted_schedule,toy_permuted_circle_M101_d128,classification,16,0.22529681429681428,0.04969316783098484,0.08547171238347707,0.10000000000000002,0.23684537684537688,0.038138014092769845,0.10398539314715786,0.10000000000000002,0.2268031598031598,0.0370220366351209,0.08777749374808198,0.10000000000000002,0.208508547008547,0.03389637419132011,0.08340548612607436,0.10000000000000002,0.12251178451178452,0.029016711021694355,0.09614756430932901,0.10000000000000002,0.016459550839129995,0.011440553523605193,0.011789260220904364,0.005663779039567632,0.018610281448369476
permuted_schedule,toy_permuted_circle_M101_d128,classification,32,0.525052059052059,0.039537556942461305,0.10785675218028158,0.10000000000000002,0.5266086506086506,0.03198684260298798,0.11188443473737592,0.10000000000000002,0.4219538979538979,0.05025870682737706,0.08509099125275595,0.10000000000000002,0.4149770784770785,0.04428088854401019,0.08381993006993006,0.10000000000000002,0.1021983941983942,0.03318353907298979,0.09352404240639534,0.10000000000000002,0.06748983550708215,0.05559766920775271,0.0226985735837026,0.02008944796184487,0.020924544375038413
phasepair_pair,toy_phasepair_M101_d24,classification,4,0.9584397075328447,0.018307580264816565,0.33266825287869156,0.3333333333333333,0.9902947071084326,0.007951015408778603,0.3269235135063209,0.3333333333333333,0.8377215195842647,0.043001589879706974,0.3266468464385266,0.3333333333333333,0.9508918550585218,0.019901549733805753,0.35289107160274874,0.3333333333333333,0.3556312188174933,0.04614136065517719,0.3426803916603403,0.3333333333333333,0.01110746418314784,0.0020459950433700832,0.01821236140780143,0.01396096995443505,0.005909982593223092
phasepair_pair,toy_phasepair_M101_d24,classification,8,1.0,0.0,0.32769864771009644,0.3333333333333333,0.9993827160493827,0.0013802888749998596,0.32518716748468984,0.3333333333333333,0.9973658150128738,0.0032957126802009226,0.33241732341081426,0.3333333333333333,0.9993827160493827,0.0013802888749998596,0.32563171623167747,0.3333333333333333,0.3850629191070367,0.03756810260955375,0.3415052938375808,0.3333333333333333,0.0,0.0010691671651659753,0.002988854353075204,0.0010691671651659753,0.03366788876125055
phasepair_pair,toy_phasepair_M101_d24,classification,16,1.0,0.0,0.32656462024593985,0.3333333333333333,1.0,0.0,0.33039641913476175,0.3333333333333333,1.0,0.0,0.3239232191461194,0.3333333333333333,1.0,0.0,0.33921108387846716,0.3333333333333333,0.39077784143960614,0.040307405821170435,0.3119075051018298,0.3333333333333333,0.0,0.0,0.0,0.0,0.0291723553058138
phasepair_pair,toy_phasepair_M101_d24,classification,32,1.0,0.0,0.31813817134891614,0.3333333333333333,1.0,0.0,0.31927232534702193,0.3333333333333333,1.0,0.0,0.32783348704437737,0.3333333333333333,1.0,0.0,0.336637884407805,0.3333333333333333,0.3319371351234096,0.05016701473034583,0.3338070463546324,0.3333333333333333,0.0,0.0,0.0,0.0,0.04293623103653727
phasepair_sign,toy_phasepair_M101_d24,classification,4,0.4914424827783122,0.046878874713453665,0.49446636781106607,0.5,0.4832879039245217,0.048069078742407824,0.5299255690507332,0.5,0.8910885913185663,0.03972039343123575,0.5091223028747441,0.5,0.8259420929514644,0.03625136365745472,0.5279036775636211,0.5,0.507113089591174,0.041521240760629755,0.5033459452071156,0.5,0.03962969866740949,0.013863302563893698,0.001627681955871029,0.00974120464122342,0.019251803632856133
phasepair_sign,toy_phasepair_M101_d24,classification,8,0.5257381585771451,0.050488628494546016,0.5388271230328009,0.5,0.48105295538397885,0.034305841370543044,0.5130202830060723,0.5,0.945707380954599,0.020077249922149765,0.5219422192304755,0.5,0.8801550122219569,0.032472582394899314,0.5322475122742194,0.5,0.5309267086824808,0.0394291855632681,0.4810905596995169,0.5,0.03956267375483763,0.04507735066725324,0.007699378998393536,0.0059248204670436155,0.03041181176325759
