target,datasource,target_kind,seed,tile_size,power_full_score,dc_vector_score,power_ac_score,power_ac_std,power_ac_null,cross_ac_score,cross_ac_std,cross_ac_null,dc_gain,phase_gain
frequency_velocity,toy_cyclic_circle_M101_d128,classification,1,4,0.38702874902874906,0.11252836052836053,0.6374421134421133,0.0346603797325812,0.09376465201465202,0.5206899766899766,0.04793829901292916,0.0927793676911324,-0.5249137529137528,-0.11675213675213669
frequency_velocity,toy_cyclic_circle_M101_d128,classification,1,8,0.686047397047397,0.12283139083139083,0.8213030303030303,0.027940168120331496,0.10786025086025086,0.6965563325563325,0.026005753533423624,0.09668216750569691,-0.6984716394716395,-0.12474669774669778
frequency_velocity,toy_cyclic_circle_M101_d128,classification,1,16,0.7926161616161617,0.15479642579642577,0.9058989898989898,0.027189228708056536,0.0904917664035311,0.7921717171717173,0.033274128628042465,0.11761464352640823,-0.7511025641025639,-0.11372727272727245
frequency_velocity,toy_cyclic_circle_M101_d128,classification,1,32,0.8877777777777778,0.152979020979021,0.9895151515151515,0.00716545465652038,0.11224934216110687,0.8661212121212122,0.02532822995653969,0.12134282873988758,-0.8365361305361305,-0.12339393939393928
phasepair_pair,toy_phasepair_M101_d24,classification,1,4,0.9456427015250544,0.3620964547435136,0.9923747276688453,0.010448434691313088,0.3464201629756022,0.9538126361655774,0.008281733249999236,0.35387118441131415,-0.6302782729253317,-0.03856209150326784
phasepair_pair,toy_phasepair_M101_d24,classification,1,8,1.0,0.37702020202020203,1.0,0.0,0.3284137462656164,1.0,0.0,0.31896353779614595,-0.622979797979798,0.0
phasepair_pair,toy_phasepair_M101_d24,classification,1,16,1.0,0.37801297286591407,1.0,0.0,0.31008372509743143,1.0,0.0,0.3781328481156937,-0.6219870271340859,0.0
phasepair_pair,toy_phasepair_M101_d24,classification,1,32,1.0,0.28363908694791046,1.0,0.0,0.35501150655555963,1.0,0.0,0.35233108710993494,-0.7163609130520896,0.0
phasepair_sign,toy_phasepair_M101_d24,classification,1,4,0.5190882960702572,0.5280802107235965,0.4706643379746988,0.057735896701349154,0.540348249857537,0.824651627281137,0.036988301643139036,0.5448820671784302,0.057415872748897645,0.35398728930643814
phasepair_sign,toy_phasepair_M101_d24,classification,1,8,0.4944897701743215,0.5416682484952605,0.44168927279935605,0.0355186883680466,0.5384176719691472,0.8825190420125665,0.02789131520680564,0.504035871432288,0.09997897569590447,0.44082976921321043
phasepair_sign,toy_phasepair_M101_d24,classification,1,16,0.5292552891142159,0.5673499765729184,0.5278929742782656,0.024437875732263022,0.5417731908612672,0.9703399629972248,0.0066773069554271775,0.543497697987997,0.039457002294652765,0.44244698871895916
phasepair_sign,toy_phasepair_M101_d24,classification,1,32,0.5113424919206603,0.5200040246524983,0.5044947559378642,0.0725579290897827,0.4841325754150745,0.9964285714285716,0.00489037997772468,0.5046772887001233,0.015509268714634095,0.49193381549070736
permuted_schedule,toy_permuted_circle_M101_d128,classification,1,4,0.11011421911421912,0.12055050505050505,0.1410780885780886,0.04070432023495566,0.096760089583619,0.1015831390831391,0.03535615774062939,0.079385428297193,-0.02052758352758355,-0.0394949494949495
permuted_schedule,toy_permuted_circle_M101_d128,classification,1,8,0.12228787878787879,0.13161926961926962,0.12123232323232322,0.023515907560132488,0.08470188145188144,0.12883449883449885,0.023559780054390463,0.06749026790203261,0.0103869463869464,0.0076021756021756315
permuted_schedule,toy_permuted_circle_M101_d128,classification,1,16,0.21527195027195029,0.1417828282828283,0.23017210567210564,0.027144416553614346,0.1182497224997225,0.2045112665112665,0.031085861851077583,0.0880809549927197,-0.08838927738927735,-0.02566083916083914
permuted_schedule,toy_permuted_circle_M101_d128,classification,1,32,0.46564180264180266,0.0958931623931624,0.4726923076923077,0.03297844490527671,0.10423514230867173,0.3929902874902876,0.05104716923799095,0.09291292041292042,-0.37679914529914527,-0.07970202020202011
signed_motion_sign,toy_signed_motion_M19_d40,classification,1,4,0.5130150173276858,0.49947803020579296,0.515401674296553,0.03996985993189921,0.5045090995211428,0.924146094496499,0.03636245924873798,0.4722702049649059,-0.01592364409076008,0.40874442019994595
signed_motion_sign,toy_signed_motion_M19_d40,classification,1,8,0.5300731613400077,0.5361435559548766,0.5320612102283262,0.024435959808901276,0.4849495918419759,1.0,0.0,0.49509275575815115,0.004082345726550418,0.4679387897716738
signed_motion_sign,toy_signed_motion_M19_d40,classification,1,16,0.5313060654031003,0.5168877194483663,0.5331229766539739,0.03926528634557407,0.5014077530618506,1.0,0.0,0.4735109760078219,-0.01623525720560759,0.4668770233460261
signed_motion_sign,toy_signed_motion_M19_d40,classification,1,32,0.457323977809153,0.4714007615624867,0.427566708024929,0.04874785696111384,0.5140558332542331,1.0,0.0,0.49409656940482194,0.043834053537557705,0.572433291975071
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,1,4,0.8812207727775512,0.6363897658352544,0.3896292194390461,0.129360802095706,-0.048818255264877486,0.16483067075483973,0.2587486320783554,-0.3699666053962811,0.2467605463962083,-0.22479854868420637
backtracking_lambda,toy_backtracking_selfexcite_d64,regression,1,8,0.23747977166872625,0.44752205588632543,0.20351715075504112,0.08288176311878045,-0.1063501584947737,-0.4552021188744272,0.18850923680040735,-1.6066496101425998,0.2440049051312843,-0.6587192696294684
