window,seed,txc_ordered_ap,txc_shuffle_ap,txc_reverse_ap,txc_circular_ap,ordered_minus_shuffle_ap,strongest_order_control_ap,conservative_order_gap_ap,sae_positional_ap,sae_invariant_ap,sae_last_token_ap
1,1,0.21163014092439147,0.21163014092439147,0.21163014092439147,0.21163014092439147,0.0,0.21163014092439147,0.0,0.2253666905801313,0.2253666905801313,0.2253666905801313
1,2,0.21428300264002723,0.21428300264002723,0.21428300264002723,0.21428300264002723,0.0,0.21428300264002723,0.0,0.2207248087039991,0.2207248087039991,0.2207248087039991
1,42,0.2211223671991275,0.2211223671991275,0.2211223671991275,0.2211223671991275,0.0,0.2211223671991275,0.0,0.22156269805008208,0.22156269805008208,0.22156269805008208
2,1,0.2272574737425741,0.22428400911641747,0.22044713228207868,0.22044713228207868,0.0029734646261566355,0.22428400911641747,0.0029734646261566355,0.2069750888825542,0.23116188959695627,0.23074887072900302
2,2,0.23194686150331031,0.23054547129042965,0.22743660593175977,0.22743660593175977,0.00140139021288066,0.23054547129042965,0.00140139021288066,0.21018726840505422,0.22182016080107486,0.21080301153404218
2,42,0.22262764630732698,0.22123000488430464,0.21404927804513915,0.21404927804513915,0.0013976414230223444,0.22123000488430464,0.0013976414230223444,0.19229550558442352,0.22118175772760526,0.2186271795600024
3,1,0.23207248247525736,0.23055717169759263,0.22828809971208033,0.2301762212200864,0.00151531077766473,0.23055717169759263,0.00151531077766473,0.20247575546458774,0.2240694416568902,0.22015464642092733
3,2,0.23455578258179582,0.23250417024362555,0.22668578139478815,0.2266303962164423,0.0020516123381702778,0.23250417024362555,0.0020516123381702778,0.1954534660920313,0.2273043391379134,0.21850604892347478
3,42,0.2364740013690092,0.2253620730898629,0.22306601715158392,0.22503373815392935,0.01111192827914631,0.2253620730898629,0.01111192827914631,0.19312085147673555,0.22131333605640058,0.21803903394193275
4,1,0.25291116243111506,0.2387587087340246,0.22903713081693738,0.22970026820670789,0.01415245369709045,0.2387587087340246,0.01415245369709045,0.1854872334554369,0.22213818956750822,0.21521271697843888
4,2,0.2569118862893018,0.2377410709484503,0.23681572879584226,0.23467569824902323,0.019170815340851494,0.2377410709484503,0.019170815340851494,0.19255240405377863,0.214686779331351,0.21523102930027319
4,42,0.24384492794114757,0.22971109221351674,0.2283484695395251,0.22781742002228117,0.014133835727630828,0.22971109221351674,0.014133835727630828,0.19894442427538056,0.22100848795240619,0.2031080880942544
5,1,0.26496205511216864,0.25019822871267844,0.25206913848973167,0.24816201470420313,0.014763826399490199,0.25206913848973167,0.012892916622436967,0.18061207070371565,0.2348823951485699,0.23174594448993097
5,2,0.2652706333968274,0.25369783806205565,0.2498078828036756,0.2469936192234571,0.011572795334771735,0.25369783806205565,0.011572795334771735,0.19971354029471877,0.2258617401247748,0.21279303933978505
5,42,0.2607286469713236,0.24462110241144205,0.23679787353811377,0.2386720083764069,0.01610754455988153,0.24462110241144205,0.01610754455988153,0.1814548366737369,0.21965524258112062,0.2123540586795639
6,1,0.26597861772257536,0.24745288497957266,0.2420982535504793,0.24587034131864965,0.018525732743002704,0.24745288497957266,0.018525732743002704,0.15852778506079637,0.23837829653001236,0.2277584329313313
6,2,0.24265808899986024,0.22610758214852794,0.22513956170805818,0.22321638789230863,0.016550506851332303,0.22610758214852794,0.016550506851332303,0.1784756373301958,0.2306465474727529,0.22555100133909106
6,42,0.2585197053471383,0.2494785047417522,0.2369537518111046,0.23763775978715923,0.009041200605386102,0.2494785047417522,0.009041200605386102,0.16924430608992386,0.2249121148546443,0.21652101148867836
