window,seed,txc_ordered_ap,txc_shuffle_ap,txc_reverse_ap,txc_circular_ap,ordered_minus_shuffle_ap,strongest_order_control_ap,conservative_order_gap_ap,sae_positional_ap,sae_invariant_ap,sae_last_token_ap
1,1,0.2225705087906432,0.2225705087906432,0.2225705087906432,0.2225705087906432,0.0,0.2225705087906432,0.0,0.22753160261269895,0.22753160261269895,0.22753160261269895
1,2,0.21272051016770127,0.21272051016770127,0.21272051016770127,0.21272051016770127,0.0,0.21272051016770127,0.0,0.23370185458226142,0.23370185458226142,0.23370185458226142
1,42,0.21798922275452806,0.21798922275452806,0.21798922275452806,0.21798922275452806,0.0,0.21798922275452806,0.0,0.2031028741304593,0.2031028741304593,0.2031028741304593
2,1,0.22493309538897183,0.21773469262368658,0.21597388101667486,0.21597388101667486,0.0071984027652852445,0.21773469262368658,0.0071984027652852445,0.1869833879015828,0.21242295116688234,0.20354124461907022
2,2,0.22543836783282134,0.22080995489931804,0.21400042709796185,0.21400042709796185,0.004628412933503301,0.22080995489931804,0.004628412933503301,0.20612340342164046,0.2184010905196117,0.2111041274894844
2,42,0.23626933001783446,0.2294391747113417,0.22273888590273988,0.22273888590273988,0.006830155306492752,0.2294391747113417,0.006830155306492752,0.19369916679600094,0.20288997145110152,0.20820707761977908
4,1,0.25382563442937667,0.23141619276518308,0.22257777238432186,0.22771968820944094,0.02240944166419359,0.23141619276518308,0.02240944166419359,0.20314612542144134,0.22500432335325887,0.22832436490835145
4,2,0.24634574449390523,0.22812501125916818,0.21330028049557842,0.2203581646442061,0.018220733234737052,0.22812501125916818,0.018220733234737052,0.1896698673989865,0.21317498442526323,0.19751908589938638
4,42,0.2394986866528357,0.2200689744170226,0.20778587644082408,0.21578795797042627,0.01942971223581308,0.2200689744170226,0.01942971223581308,0.1903676072483251,0.218748251429705,0.20394903314179355
6,1,0.24553747141042298,0.23132137313806914,0.22143240190697416,0.22814165066572087,0.014216098272353844,0.23132137313806914,0.014216098272353844,0.2019095307928675,0.22758623434594227,0.22018881091417036
6,2,0.2509032769353158,0.22503721964201998,0.2166942102130224,0.2210401013574058,0.025866057293295802,0.22503721964201998,0.025866057293295802,0.17857005923039343,0.21279516854114983,0.20484309019792302
6,42,0.2572137374644074,0.22405533767153268,0.21854167642810496,0.22287686020072894,0.033158399792874715,0.22405533767153268,0.033158399792874715,0.16144003385868688,0.22020336663291307,0.19620358059846849
10,1,0.25045286117076315,0.23536231047227568,0.23190324125080522,0.23226658915127768,0.01509055069848747,0.23536231047227568,0.01509055069848747,0.17753940819167105,0.22830653261068284,0.22188154929434512
10,2,0.2494399917620031,0.22094825278192487,0.2170845501719326,0.21632190302204587,0.02849173898007823,0.22094825278192487,0.02849173898007823,0.16939043784691052,0.21579586425528058,0.20764213429568995
10,42,0.2645626093051201,0.23816908648949187,0.23374719599319524,0.23605770866961207,0.026393522815628234,0.23816908648949187,0.026393522815628234,0.1661015477720333,0.2259604743339803,0.212610016499986
