layer,centering,lag,pair_count,frobenius,frobenius_normalized,operator,nuclear,frobenius_boot_q025,frobenius_boot_q975
8,global,0,2040000,7.846063131642984,1.727026904004422,1.2085842758338414,62.49942292160333,1.7191228210926055,1.7311610192060471
8,global,1,2039452,4.5431041713655285,1.0,0.9854172655096592,31.539888241805997,1.0,1.0
8,global,2,2038904,3.3596959243731344,0.7395154937341675,0.9765977972425263,20.96598165974276,0.7375990524888039,0.7428264677524566
8,global,3,2038356,2.8189888197899537,0.6204983890877073,0.9731103221757552,15.912550900605957,0.6179245188832283,0.6251033842563629
8,global,4,2037808,2.544667433682609,0.5601164617182339,0.9707703145570628,13.351461274226288,0.5569763153791427,0.5655403912067414
8,global,5,2037260,2.3737755340018336,0.5225007933921849,0.9689200423157986,11.739903587511543,0.5192666307091713,0.5282841339707375
8,global,6,2036712,2.259445663477505,0.4973352091986875,0.9675625630481884,10.70947701593494,0.493988835811615,0.50348609238863
8,global,7,2036164,2.177103782845779,0.4792106235572854,0.9665415694058119,9.985955173162068,0.4755510151386261,0.4856279268860817
8,global,8,2035616,2.111691385921565,0.46481245119388276,0.965575605182514,9.413865082471508,0.4607547529041767,0.4715412609279156
8,global,9,2035068,2.0586290290778173,0.4531326932921839,0.9646493933519082,8.942107596025032,0.4488257683813572,0.460025916993618
8,global,10,2034520,2.0161983966096337,0.4437931248236427,0.9637942005574909,8.571571545591492,0.439597350358963,0.45079813301563265
8,global,11,2033972,1.9819532489920721,0.436255294669229,0.9628996008531917,8.27077581969126,0.4319575294852257,0.44331868886947634
8,global,12,2033424,1.9531740480543633,0.42992059490181017,0.9620073603850232,8.016574113042285,0.42546091228723526,0.4370462164282799
8,global,13,2032876,1.928115669851401,0.4244048996287629,0.9610999154448888,7.796689864928075,0.4199350498616695,0.4316771119832993
8,global,14,2032328,1.9063370196318177,0.4196111178007232,0.9601914765406369,7.615097892584179,0.4150867372751236,0.42701321095228195
8,global,15,2031780,1.8874640212547065,0.41545691009048297,0.9592891303255577,7.462080668110708,0.41087800860404966,0.4230427771806717
8,global,16,2031232,1.8702052095304003,0.41165800716567535,0.9583775553788606,7.316960955070913,0.40699204951524737,0.41928187310695647
8,global,17,2030684,1.8553051081254301,0.4083782889723565,0.9574907090731373,7.202439243238343,0.4036671780049801,0.4161917082965374
8,global,18,2030136,1.8414328502321071,0.40532481333762255,0.9565630109145402,7.085601750566062,0.40047924742102625,0.413244105130434
8,global,19,2029588,1.8297415346260555,0.40275139323430637,0.9555836676592045,6.993767296764833,0.39788800179958345,0.41074129194021225
8,global,20,2029040,1.8183304834119844,0.40023966319606663,0.9546180902925874,6.907620308670194,0.39535155296325686,0.4082317344844341
8,global,21,2028492,1.8080007154974924,0.3979659385521109,0.9535716056887542,6.829878512984215,0.3930156543850899,0.4060895547270775
8,global,22,2027944,1.798008399315735,0.3957664916970866,0.9525401503813434,6.750005607331671,0.39083374217152594,0.4039368614554405
